DY,DY001,Hilary O'Neil had little experience and a lot of possibility.,neu,neu,neu,3,3,3,neu,neu,neu,3,3,3
DY,DY002,do you know anything about chemotherapy.,neu,sad,sad,3,2,2,sad,sad,sad,2,2,2
DY,DY003,well I need help during it.,sad,sad,sad,2,2,2,sad,sad,sad,2,2,2
DY,DY004,so why would you pick me? Oh.. I got it. I had this shortest skirt  huh?,hap,sad,hap,1,2,1,hap,hap,hap,1,1,1
DY,DY005,oh actually no there was one with a shorter skirt but he was never a candy striper.,hap,neu,hap,1,3,1,hap,hap,hap,1,1,1
DY,DY006,Victor at all life could offer except the one thing he needed.,neu,neu,sad,3,3,2,neu,neu,neu,3,3,3
DY,DY007,I don't think I can deal with this.,sad,sad,sad,2,2,2,sad,sad,sad,2,2,2
DY,DY008,I'm not going to die  I am going to recover but I can't do it without help  I can't do it without you.,sad,neu,sad,2,3,2,sad,sad,sad,2,2,2
DY,DY009,for them the best medicine in life is knowing that there's hope.,neu,hap,neu,3,1,3,neu,neu,neu,3,3,3
DY,DY010,we deserve an adventure.,hap,neu,hap,1,3,1,hap,neu,hap,1,3,1
DY,DY011,why don't you drive? ,hap,neu,neu,1,3,3,hap,neu,neu,1,3,3
DY,DY012,no please don't do that Hilary.,ang,ang,ang,0,0,0,ang,ang,ang,0,0,0
DY,DY013,he's very sick and I don't know how to help him.,sad,sad,sad,2,2,2,sad,sad,sad,2,2,2
DY,DY014,Where's my son?,ang,ang,ang,0,0,0,ang,ang,ang,0,0,0
DY,DY015,I think you need to come get him now.,sad,ang,neu,2,0,3,sad,sad,sad,2,2,2
DY,DY016,I'd like to hide away here  too  with a beautiful girl. It's the enchanted cottage.,hap,hap,hap,1,1,1,hap,hap,hap,1,1,1
DY,DY017,I'm taking you back.,sad,sad,ang,2,2,0,sad,sad,sad,2,2,2
DY,DY018,Do you love me?,hap,ang,hap,1,0,1,hap,hap,hap,1,1,1
DY,DY019,What?,oth,hap,neu,-1,1,3,neu,neu,neu,3,3,3
DY,DY020,Just tell me. ,neu,neu,neu,3,3,3,neu,neu,neu,3,3,3
DY,DY021,"You want me to tell you I love you? Then you can say  ""Well  great. Now I'm gonna die and I'm gonna leave you.""",sad,sad,sad,2,2,2,sad,sad,sad,2,2,2
DY,DY022,Do you think I want to die ? ,sad,ang,sad,2,0,2,sad,sad,sad,2,2,2
DY,DY023,I need a life. I have a life with you. ,sad,hap,hap,2,1,1,hap,hap,hap,1,1,1
DY,DY024,Most people live a lifetime and never love like this.,neu,hap,hap,3,1,1,hap,hap,hap,1,1,1
RO,RO001,"Special forces, huh? Huh?",neu,neu,neu,3,3,3,neu,neu,neu,3,3,3
RO,RO002,Yes Sir.,neu,neu,neu,3,3,3,neu,neu,neu,3,3,3
RO,RO003,"Oh, you're on leave. I hope you're enjoying yourself.",hap,neu,neu,1,3,3,neu,neu,neu,3,3,3
RO,RO004,"Yeah, I think I am.",hap,neu,neu,1,3,3,neu,neu,neu,3,3,3
RO,RO005,Full moon tonight.,hap,oth,hap,1,-1,1,hap,hap,hap,1,1,1
RO,RO006,"Actually doesn't matter where you are in the world, it's never bigger than your thumb.",hap,neu,hap,1,3,1,hap,hap,hap,1,1,1
RO,RO007,Hey pop. Got somebody I want you to meet.,hap,neu,hap,1,3,1,hap,hap,hap,1,1,1
RO,RO008,"I like you're dad, he loves you. I can tell even if you can't.",hap,hap,hap,1,1,1,hap,hap,hap,1,1,1
RO,RO009,The way people act around you it's like they're scared of you.,neu,neu,neu,3,3,3,neu,neu,neu,3,3,3
RO,RO010,Want you to get your hands off me.,ang,ang,ang,0,0,0,ang,ang,ang,0,0,0
RO,RO011,What if you're scared of what I used to be.,sad,sad,sad,2,2,2,sad,sad,sad,2,2,2
RO,RO012,You don't scare me John.,hap,oth,neu,1,-1,3,sad,sad,sad,2,2,2
RO,RO013,Well you scare me.,sad,oth,neu,2,-1,3,ang,ang,ang,0,0,0
RO,RO014,I gotta go back.,sad,neu,sad,2,3,2,sad,sad,sad,2,2,2
RO,RO015,Just like that.,ang,ang,ang,0,0,0,sad,sad,sad,2,2,2
RO,RO016,So where are they gonna send you? Right in the middle of it all?,sad,neu,ang,2,3,0,sad,sad,sad,2,2,2
RO,RO017,I'll see you soon.,sad,neu,sad,2,3,2,sad,sad,sad,2,2,2
RO,RO018,I'll see you soon then.,sad,neu,sad,2,3,2,sad,sad,sad,2,2,2
RO,RO019,"Dear John, tell me everything write it all down. That way. We'll be with each other all the time, even if we're not with each other at all.",neu,oth,sad,3,-1,2,neu,neu,neu,3,3,3
RO,RO020,"It's a full moon here tonight, which makes me think of you. Half a world away.",hap,sad,sad,1,2,2,neu,neu,neu,3,3,3
RO,RO021,Letter number 8.,neu,neu,neu,3,3,3,neu,neu,neu,3,3,3
RO,RO022,Letter number 33.,neu,neu,neu,3,3,3,sad,sad,sad,2,2,2
RO,RO023,Dear John.,neu,neu,neu,3,3,3,neu,neu,neu,3,3,3
RO,RO024,I miss you so much. It hurts,sad,sad,sad,2,2,2,sad,sad,sad,2,2,2
RO,RO025,Request for permission to extend my tour sir.,ang,neu,neu,0,3,3,sad,sad,sad,2,2,2
RO,RO026,You've decided you're going back.,hap,sad,sad,1,2,2,sad,sad,sad,2,2,2
RO,RO027,"All I know is I want to stay here with you as long as I possibly can and I need you to tell me, I don't...",sad,neu,sad,2,3,2,hap,hap,hap,1,1,1
RO,RO028,A lot can happen in 12 months John.,sad,neu,sad,2,3,2,neu,neu,neu,3,3,3
RO,RO029,Tonight you're here with me.,hap,hap,sad,1,1,2,neu,neu,neu,3,3,3
RO,RO030,My dad and I used to come out here. Lay down watch the lights change watch them go from green to red to yellow. You could try it if you wanted to.,hap,neu,neu,1,3,3,neu,neu,neu,3,3,3
RO,RO031,No.,neu,neu,neu,3,3,3,neu,neu,neu,3,3,3
RO,RO032,That's your problem. You don't do what you want.,neu,ang,oth,3,0,-1,neu,neu,neu,3,3,3
RO,RO033,Okay. And what happens if a car comes?,neu,neu,oth,3,3,-1,hap,hap,hap,1,1,1
RO,RO034,We die.,neu,neu,neu,3,3,3,hap,hap,hap,1,1,1
RO,RO035,"Some of  romances, there's shooting stars. Spectacular moment of light from the heavens.",hap,hap,hap,1,1,1,hap,neu,hap,1,3,1
RO,RO036,You just tell what you want I'm gonna be that for you.,hap,hap,hap,1,1,1,hap,hap,neu,1,1,3
RO,RO037,Leaving glimpse of eternity.,hap,neu,hap,1,3,1,hap,hap,hap,1,1,1
RO,RO038,"Windsor plantation, I'm gonna buy it one day, I'm gonna fix it up.",hap,hap,neu,1,1,3,neu,neu,neu,3,3,3
RO,RO039,"Well, what about me?",hap,hap,hap,1,1,1,hap,hap,hap,1,1,1
RO,RO040,What do you want?,hap,neu,neu,1,3,3,hap,hap,hap,1,1,1
RO,RO041,"I want a white house, with blue shutters.",hap,hap,hap,1,1,1,hap,hap,hap,1,1,1
RO,RO042,Okay.,hap,neu,hap,1,3,1,hap,hap,hap,1,1,1
