TEYA001,say the word back,angry,0,angry,TEOA001
TEYA002,say the word bar,angry,0,happy,TEOA002
TEYA003,say the word base,angry,0,neutral,TEOA003
TEYA004,say the word bath,angry,0,sad,TEOA004
TEYA005,say the word bean,angry,0,,TEOA005
TEYA006,say the word beg,angry,0,,TEOA006
TEYA007,say the word bite,angry,0,,TEOA007
TEYA008,say the word boat,angry,0,,TEOA008
TEYA009,say the word bone,angry,0,,TEOA009
TEYA010,say the word book,angry,0,,TEOA010
TEYA011,say the word bought,angry,0,,TEOA011
TEYA012,say the word burn,angry,0,,TEOA012
TEYA013,say the word cab,angry,0,,TEOA013
TEYA014,say the word calm,angry,0,,TEOA014
TEYA015,say the word came,angry,0,,TEOA015
TEYA016,say the word cause,angry,0,,TEOA016
TEYA017,say the word chain,angry,0,,TEOA017
TEYA018,say the word chair,angry,0,,TEOA018
TEYA019,say the word chalk,angry,0,,TEOA019
TEYA020,say the word chat,angry,0,,TEOA020
TEYA021,say the word check,angry,0,,TEOA021
TEYA022,say the word cheek,angry,0,,TEOA022
TEYA023,say the word chief,angry,0,,TEOA023
TEYA024,say the word choice,angry,0,,TEOA024
TEYA025,say the word cool,angry,0,,TEOA025
TEYA026,say the word dab,angry,0,,TEOA026
TEYA027,say the word date,angry,0,,TEOA027
TEYA028,say the word dead,angry,0,,TEOA028
TEYA029,say the word death,angry,0,,TEOA029
TEYA030,say the word deep,angry,0,,TEOA030
TEYA031,say the word dime,angry,0,,TEOA031
TEYA032,say the word dip,angry,0,,TEOA032
TEYA033,say the word ditch,angry,0,,TEOA033
TEYA034,say the word dodge,angry,0,,TEOA034
TEYA035,say the word dog,angry,0,,TEOA035
TEYA036,say the word doll,angry,0,,TEOA036
TEYA037,say the word door,angry,0,,TEOA037
TEYA038,say the word fail,angry,0,,TEOA038
TEYA039,say the word fall,angry,0,,TEOA039
TEYA040,say the word far,angry,0,,TEOA040
TEYA041,say the word fat,angry,0,,TEOA041
TEYA042,say the word fit,angry,0,,TEOA042
TEYA043,say the word five,angry,0,,TEOA043
TEYA044,say the word food,angry,0,,TEOA044
TEYA045,say the word gap,angry,0,,TEOA045
TEYA046,say the word gas,angry,0,,TEOA046
TEYA047,say the word gaze,angry,0,,TEOA047
TEYA048,say the word germ,angry,0,,TEOA048
TEYA049,say the word get,angry,0,,TEOA049
TEYA050,say the word gin,angry,0,,TEOA050
TEYA051,say the word goal,angry,0,,TEOA051
TEYA052,say the word good,angry,0,,TEOA052
TEYA053,say the word goose,angry,0,,TEOA053
TEYA054,say the word gun,angry,0,,TEOA054
TEYA055,say the word half,angry,0,,TEOA055
TEYA056,say the word hall,angry,0,,TEOA056
TEYA057,say the word hash,angry,0,,TEOA057
TEYA058,say the word hate,angry,0,,TEOA058
TEYA059,say the word have,angry,0,,TEOA059
TEYA060,say the word haze,angry,0,,TEOA060
TEYA061,say the word hire,angry,0,,TEOA061
TEYA062,say the word hit,angry,0,,TEOA062
TEYA063,say the word hole,angry,0,,TEOA063
TEYA064,say the word home,angry,0,,TEOA064
TEYA065,say the word hurl,angry,0,,TEOA065
TEYA066,say the word hush,angry,0,,TEOA066
TEYA067,say the word jail,angry,0,,TEOA067
TEYA068,say the word jar,angry,0,,TEOA068
TEYA069,say the word join,angry,0,,TEOA069
TEYA070,say the word judge,angry,0,,TEOA070
TEYA071,say the word jug,angry,0,,TEOA071
TEYA072,say the word juice,angry,0,,TEOA072
TEYA073,say the word keen,angry,0,,TEOA073
TEYA074,say the word keep,angry,0,,TEOA074
