TEYA001,say the word back,angry,0,angry
TEYA002,say the word bar,angry,0,happy
TEYA003,say the word base,angry,0,neutral
TEYA004,say the word bath,angry,0,sad
TEYA005,say the word bean,angry,0,
TEYA006,say the word beg,angry,0,
TEYA007,say the word bite,angry,0,
TEYA008,say the word boat,angry,0,
TEYA009,say the word bone,angry,0,
TEYA010,say the word book,angry,0,
TEYA011,say the word bought,angry,0,
TEYA012,say the word burn,angry,0,
TEYA013,say the word cab,angry,0,
TEYA014,say the word calm,angry,0,
TEYA015,say the word came,angry,0,
TEYA016,say the word cause,angry,0,
TEYA017,say the word chain,angry,0,
TEYA018,say the word chair,angry,0,
TEYA019,say the word chalk,angry,0,
TEYA020,say the word chat,angry,0,
TEYA021,say the word check,angry,0,
TEYA022,say the word cheek,angry,0,
TEYA023,say the word chief,angry,0,
TEYA024,say the word choice,angry,0,
TEYA025,say the word cool,angry,0,
TEYA026,say the word dab,angry,0,
TEYA027,say the word date,angry,0,
TEYA028,say the word dead,angry,0,
TEYA029,say the word death,angry,0,
TEYA030,say the word deep,angry,0,
TEYA031,say the word dime,angry,0,
TEYA032,say the word dip,angry,0,
TEYA033,say the word ditch,angry,0,
TEYA034,say the word dodge,angry,0,
TEYA035,say the word dog,angry,0,
TEYA036,say the word doll,angry,0,
TEYA037,say the word door,angry,0,
TEYA038,say the word fail,angry,0,
TEYA039,say the word fall,angry,0,
TEYA040,say the word far,angry,0,
TEYA041,say the word fat,angry,0,
TEYA042,say the word fit,angry,0,
TEYA043,say the word five,angry,0,
TEYA044,say the word food,angry,0,
TEYA045,say the word gap,angry,0,
TEYA046,say the word gas,angry,0,
TEYA047,say the word gaze,angry,0,
TEYA048,say the word germ,angry,0,
TEYA049,say the word get,angry,0,
TEYA050,say the word gin,angry,0,
TEYA051,say the word goal,angry,0,
TEYA052,say the word good,angry,0,
TEYA053,say the word goose,angry,0,
TEYA054,say the word gun,angry,0,
TEYA055,say the word half,angry,0,
TEYA056,say the word hall,angry,0,
TEYA057,say the word hash,angry,0,
TEYA058,say the word hate,angry,0,
TEYA059,say the word have,angry,0,
TEYA060,say the word haze,angry,0,
TEYA061,say the word hire,angry,0,
TEYA062,say the word hit,angry,0,
TEYA063,say the word hole,angry,0,
TEYA064,say the word home,angry,0,
TEYA065,say the word hurl,angry,0,
TEYA066,say the word hush,angry,0,
TEYA067,say the word jail,angry,0,
TEYA068,say the word jar,angry,0,
TEYA069,say the word join,angry,0,
TEYA070,say the word judge,angry,0,
TEYA071,say the word jug,angry,0,
TEYA072,say the word juice,angry,0,
TEYA073,say the word keen,angry,0,
TEYA074,say the word keep,angry,0,
TEYA075,say the word keg,angry,0,
TEYA076,say the word kick,angry,0,
TEYA077,say the word kill,angry,0,
TEYA078,say the word king,angry,0,
TEYA079,say the word kite,angry,0,
TEYA080,say the word knock,angry,0,
TEYA081,say the word late,angry,0,
TEYA082,say the word laud,angry,0,
TEYA083,say the word lean,angry,0,
TEYA084,say the word learn,angry,0,
TEYA085,say the word lease,angry,0,
TEYA086,say the word lid,angry,0,
TEYA087,say the word life,angry,0,
TEYA088,say the word limb,angry,0,
TEYA089,say the word live,angry,0,
TEYA090,say the word loaf,angry,0,
TEYA091,say the word long,angry,0,
TEYA092,say the word lore,angry,0,
TEYA093,say the word lose,angry,0,
TEYA094,say the word lot,angry,0,
TEYA095,say the word love,angry,0,
TEYA096,say the word luck,angry,0,
TEYA097,say the word make,angry,0,
TEYA098,say the word match,angry,0,
TEYA099,say the word merge,angry,0,
TEYA100,say the word mess,angry,0,
TEYA101,say the word met,angry,0,
TEYA102,say the word mill,angry,0,
TEYA103,say the word mob,angry,0,
TEYA104,say the word mode,angry,0,
TEYA105,say the word mood,angry,0,
TEYA106,say the word moon,angry,0,
TEYA107,say the word mop,angry,0,
TEYA108,say the word mouse,angry,0,
TEYA109,say the word nag,angry,0,
TEYA110,say the word name,angry,0,
TEYA111,say the word near,angry,0,
TEYA112,say the word neat,angry,0,
TEYA113,say the word nice,angry,0,
TEYA114,say the word note,angry,0,
TEYA115,say the word numb,angry,0,
TEYA116,say the word pad,angry,0,
TEYA117,say the word page,angry,0,
TEYA118,say the word pain,angry,0,
TEYA119,say the word pass,angry,0,
TEYA120,say the word pearl,angry,0,
TEYA121,say the word peg,angry,0,
TEYA122,say the word perch,angry,0,
TEYA123,say the word phone,angry,0,
TEYA124,say the word pick,angry,0,
TEYA125,say the word pike,angry,0,
TEYA126,say the word pole,angry,0,
TEYA127,say the word pool,angry,0,
TEYA128,say the word puff,angry,0,
TEYA129,say the word rag,angry,0,
TEYA130,say the word raid,angry,0,
TEYA131,say the word rain,angry,0,
TEYA132,say the word raise,angry,0,
TEYA133,say the word rat,angry,0,
TEYA134,say the word reach,angry,0,
TEYA135,say the word read,angry,0,
TEYA136,say the word red,angry,0,
TEYA137,say the word ring,angry,0,
TEYA138,say the word ripe,angry,0,
TEYA139,say the word road,angry,0,
TEYA140,say the word room,angry,0,
TEYA141,say the word rose,angry,0,
TEYA142,say the word rot,angry,0,
TEYA143,say the word rough,angry,0,
TEYA144,say the word rush,angry,0,
TEYA145,say the word said,angry,0,
TEYA146,say the word sail,angry,0,
TEYA147,say the word search,angry,0,
TEYA148,say the word seize,angry,0,
TEYA149,say the word sell,angry,0,
TEYA150,say the word shack,angry,0,
TEYA151,say the word shall,angry,0,
TEYA152,say the word shawl,angry,0,
TEYA153,say the word sheep,angry,0,
TEYA154,say the word shirt,angry,0,
TEYA155,say the word should,angry,0,
TEYA156,say the word shout,angry,0,
TEYA157,say the word size,angry,0,
TEYA158,say the word soap,angry,0,
TEYA159,say the word soup,angry,0,
TEYA160,say the word sour,angry,0,
TEYA161,say the word south,angry,0,
TEYA162,say the word sub,angry,0,
TEYA163,say the word such,angry,0,
