TEOA001,say the word back
TEOA002,say the word bar
TEOA003,say the word base
TEOA004,say the word bath
TEOA005,say the word bean
TEOA006,say the word beg
TEOA007,say the word bite
TEOA008,say the word boat
TEOA009,say the word bone
TEOA010,say the word book
TEOA011,say the word bought
TEOA012,say the word burn
TEOA013,say the word cab
TEOA014,say the word calm
TEOA015,say the word came
TEOA016,say the word cause
TEOA017,say the word chain
TEOA018,say the word chair
TEOA019,say the word chalk
TEOA020,say the word chat
TEOA021,say the word check
TEOA022,say the word cheek
TEOA023,say the word chief
TEOA024,say the word choice
TEOA025,say the word cool
TEOA026,say the word dab
TEOA027,say the word date
TEOA028,say the word dead
TEOA029,say the word death
TEOA030,say the word deep
TEOA031,say the word dime
TEOA032,say the word dip
TEOA033,say the word ditch
TEOA034,say the word dodge
TEOA035,say the word dog
TEOA036,say the word doll
TEOA037,say the word door
TEOA038,say the word fail
TEOA039,say the word fall
TEOA040,say the word far
TEOA041,say the word fat
TEOA042,say the word fit
TEOA043,say the word five
TEOA044,say the word food
TEOA045,say the word gap
TEOA046,say the word gas
TEOA047,say the word gaze
TEOA048,say the word germ
TEOA049,say the word get
TEOA050,say the word gin
TEOA051,say the word goal
TEOA052,say the word good
TEOA053,say the word goose
TEOA054,say the word gun
TEOA055,say the word half
TEOA056,say the word hall
TEOA057,say the word hash
TEOA058,say the word hate
TEOA059,say the word have
TEOA060,say the word haze
TEOA061,say the word hire
TEOA062,say the word hit
TEOA063,say the word hole
TEOA064,say the word home
TEOA065,say the word hurl
TEOA066,say the word hush
TEOA067,say the word jail
TEOA068,say the word jar
TEOA069,say the word join
TEOA070,say the word judge
TEOA071,say the word jug
TEOA072,say the word juice
TEOA073,say the word keen
TEOA074,say the word keep
TEOA075,say the word keg
TEOA076,say the word kick
TEOA077,say the word kill
TEOA078,say the word king
TEOA079,say the word kite
TEOA080,say the word knock
TEOA081,say the word late
TEOA082,say the word laud
TEOA083,say the word lean
TEOA084,say the word learn
TEOA085,say the word lease
TEOA086,say the word lid
TEOA087,say the word life
TEOA088,say the word limb
TEOA089,say the word live
TEOA090,say the word loaf
TEOA091,say the word long
TEOA092,say the word lore
TEOA093,say the word lose
TEOA094,say the word lot
TEOA095,say the word love
TEOA096,say the word luck
TEOA097,say the word make
TEOA098,say the word match
TEOA099,say the word merge
TEOA100,say the word mess
TEOA101,say the word met
TEOA102,say the word mill
TEOA103,say the word mob
TEOA104,say the word mode
TEOA105,say the word mood
TEOA106,say the word moon
TEOA107,say the word mop
TEOA108,say the word mouse
TEOA109,say the word nag
TEOA110,say the word name
TEOA111,say the word near
TEOA112,say the word neat
TEOA113,say the word nice
TEOA114,say the word note
TEOA115,say the word numb
TEOA116,say the word pad
TEOA117,say the word page
TEOA118,say the word pain
TEOA119,say the word pass
TEOA120,say the word pearl
TEOA121,say the word peg
TEOA122,say the word perch
TEOA123,say the word phone
TEOA124,say the word pick
TEOA125,say the word pike
TEOA126,say the word pole
TEOA127,say the word pool
TEOA128,say the word puff
TEOA129,say the word rag
TEOA130,say the word raid
TEOA131,say the word rain
TEOA132,say the word raise
TEOA133,say the word rat
TEOA134,say the word reach
TEOA135,say the word read
TEOA136,say the word red
TEOA137,say the word ring
TEOA138,say the word ripe
TEOA139,say the word road
TEOA140,say the word room
TEOA141,say the word rose
TEOA142,say the word rot
TEOA143,say the word rough
TEOA144,say the word rush
TEOA145,say the word said
